Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,DeathsAgeUnder5,DeathsAge5To9,DeathsAge10To14,DeathsAge15To19,DeathsAge20To24,DeathsAge25To29,DeathsAge30To34,DeathsAge35To39,DeathsAge40To44,DeathsAge45To49,DeathsAge50To54,DeathsAge55To59,DeathsAge60To64,DeathsAge65To69,DeathsAge70To74,DeathsAge75To79,DeathsAge80To84,DeathsAge85To89,DeathsAge90AndOver,DeathsAllAges,MortalityRateAgeUnder5,MortalityRateAge5To9,MortalityRateAge10To14,MortalityRateAge15To19,MortalityRateAge20To24,MortalityRateAge25To29,MortalityRateAge30To34,MortalityRateAge35To39,MortalityRateAge40To44,MortalityRateAge45To49,MortalityRateAge50To54,MortalityRateAge55To59,MortalityRateAge60To64,MortalityRateAge65To69,MortalityRateAge70To74,MortalityRateAge75To79,MortalityRateAge80To84,MortalityRateAge85To89,MortalityRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedMortalityRatio,StandardisedMortalityRatioQF
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2001,6,7,5,6,11,10,15,35,75,166,338,559,833,1064,1389,1398,1017,560,244,7738,4.232147392,4.476991462,3.016791461,3.723632031,6.97487144,6.530782845,8.144118318,17.97729724,40.63763153,99.26745403,194.3221148,393.7201981,668.421306,965.0355993,1539.228723,2111.973895,2750.655884,3357.112883,3832.260091,317.9477782,310.9025969,325.112341,464.4827194,453.5664501, ,475.5269923, ,176.8565245,172.7516304, ,181.0089484, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2002,5,1,7,8,15,11,25,46,80,146,317,527,858,1113,1374,1375,1048,536,245,7737,3.621456405,0.649582643,4.235211549,4.946332295,9.283269691,7.448587815,14.04746921,23.71402943,42.46464818,85.50862993,189.843095,344.0958506,685.5992201,1004.458242,1504.434468,2074.407097,2610.601833,3172.911857,4425.578035,317.6573907,310.6181915,324.8158778,460.6058081,449.5599742, ,471.7838373, ,174.7184769,170.6547033, ,178.8294039, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2003,8,6,5,8,6,9,28,33,62,133,273,537,819,1037,1336,1377,1132,542,251,7602,5.902011848,3.955435428,3.064345119,4.904425017,3.653880116,6.247180092,16.22285569,17.10766423,32.41745314,76.55865948,166.4207947,336.5273139,646.3986362,921.9498751,1448.709607,2055.868257,2716.713065,3317.013464,4299.417609,311.7995328,304.8294038,318.8888334,449.7776532,438.9323856, ,460.7534356, ,167.4425485,163.496128, ,171.4353779, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2004,8,4,6,8,8,9,22,35,73,172,264,523,770,1090,1369,1349,1133,535,262,7640,5.931989738,2.669193503,3.694945315,4.889019263,4.86890474,6.184759379,13.24303988,18.2805808,37.65914859,97.02987053,161.7954391,318.9004945,593.7830147,956.1990649,1474.167079,1988.414427,2601.368416,3301.246452,4339.903926,312.2697062,305.3063515,319.3518173,444.6164325,433.9173201, ,455.4440369, ,166.1815274,162.2715379, ,170.1374178, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2005,2,5,8,5,7,11,22,44,84,138,302,527,758,1061,1305,1378,1147,579,254,7637,1.473187979,3.376986512,4.976269415,3.053323237,4.211995764,7.324397568,13.64552644,23.40039674,42.64890306,76.06197397,184.6428506,313.0290161,576.386407,924.2321295,1387.500797,2001.045539,2650.368556,3199.071772,3963.795256,310.2854529,303.3649941,317.3239599,434.2158948,423.8805185, ,444.674031, ,162.0486457,158.2421571, ,165.8997459, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2006,5,4,7,7,14,13,25,34,72,148,268,547,758,1020,1286,1389,1149,672,274,7692,3.644102385,2.75616865,4.420671058,4.24450791,8.355864325,8.383364825,16.01034909,18.2418113,36.41955325,80.04153507,161.721489,320.5447503,558.1655646,893.0369385,1351.039018,1984.654293,2634.233573,3364.036844,4141.475212,310.7729366,303.8662921,317.7969678,431.7167539,421.5017778, ,442.0523319, ,159.7260993,155.975958, ,163.5201707, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2007,9,1,7,6,11,12,15,33,66,126,281,503,819,976,1328,1412,1177,657,300,7739,6.39590662,0.705422583,4.454257952,3.594019551,6.501527859,7.416196974,9.844974469,18.04994913,33.25808272,66.59478658,165.6409894,306.7783999,556.2951693,847.148685,1380.844936,1970.360861,2654.428182,3094.094377,4478.94894,309.9867898,303.1184518,316.9715052,427.4540768,417.3413502, ,437.6861815, ,156.2836719,152.6247395, ,159.9853431, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2008,1,3,5,7,12,10,10,42,69,165,267,509,805,1056,1303,1266,1157,705,299,7691,0.691094556,2.156272237,3.206669873,4.208273466,6.965688181,6.006114224,6.650528052,23.51123501,34.87472896,85.4833696,154.3316918,315.8195175,523.4648823,900.9931402,1329.035812,1731.992612,2553.069421,3170.249123,4450.066974,305.7682093,298.972351,312.679579,415.7490573,405.8560742, ,425.7595115, ,153.3546336,149.7684675, ,156.9826391, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2009,2,3,2,6,4,12,13,28,76,140,277,496,784,1039,1298,1385,1131,717,281,7694,1.35816973,2.175363286,1.297328153,3.567542498,2.307576929,7.158623158,8.537298142,16.15928437,38.71842029,71.49605495,156.6892744,309.5897935,496.3313265,866.215912,1300.58817,1865.571121,2435.295638,3047.562375,4058.347776,303.8740585,297.1216082,310.7412598,405.7690791,396.1683374, ,415.4831675, ,148.9590356,145.4726331, ,152.4861493, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2010,6,4,0,6,8,14,19,28,52,132,286,467,823,989,1240,1398,1256,730,317,7775,4.044925641,2.902399559,0,3.567224343,4.548297231,8.308309496,12.20397336,16.60617275,27.02646515,66.3113317,158.2549897,291.1199077,507.1606399,811.4605469,1229.743936,1840.030536,2635.610114,3059.642064,3948.187819,305.1148232,298.3700153,311.9736481,401.2346001,391.9139632, ,410.6632501, ,146.2319427,142.8044851, ,149.699481, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2011,3,4,3,6,9,18,18,24,79,129,235,459,772,1019,1346,1400,1277,792,359,7952,2.003392411,2.886148651,2.016589812,3.60639775,4.942475082,10.56387624,11.27508707,14.59241559,41.38877683,64.43298969,127.235418,282.0103219,468.9360255,806.0752284,1337.121513,1809.066005,2596.478386,3251.631974,3965.97437,309.380228,302.6172536,316.256235,402.9327747,393.7587229, ,412.2110036, ,145.8002162,142.4188886, ,149.2206635, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2012,7,2,1,8,2,6,20,35,63,121,257,439,780,1049,1309,1386,1222,840,384,7931,4.636160729,1.417072894,0.694116667,4.906109333,1.082567417,3.511051033,12.24679746,22.13130821,33.83531333,60.63977468,136.5234852,264.125288,494.3373028,763.7422643,1288.018184,1767.699313,2400.125702,3383.549505,3900.853312,307.7263327,300.9906609,314.5747311,393.1165165,384.1946643, ,402.1393532, ,142.467828,139.1530115, ,145.8211211, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2013,6,2,2,6,4,12,16,22,63,141,258,472,720,1096,1288,1366,1315,865,393,8047,3.994700364,1.382829407,1.422151431,3.734176427,2.168773992,6.89809785,9.580264655,14.26330053,34.74060349,71.19522134,134.4723524,278.6880406,464.4951518,763.2311978,1245.744352,1702.605011,2516.45744,3395.752365,3809.61613,311.0937572,304.3333675,317.9664614,389.85057,381.0880744, ,398.7112802, ,141.0401678,137.7698254, ,144.348339, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2014,4,6,2,5,4,5,14,29,64,138,248,460,740,1122,1299,1399,1241,907,394,8081,2.678487726,4.072573255,1.438445328,3.163355688,2.180109769,2.825864573,8.338842926,18.73711823,36.51300776,70.45921024,127.5595492,265.8268081,480.1671501,759.9669462,1223.313588,1706.888558,2314.348588,3412.46849,3586.056248,311.2230554,304.4740213,318.0839769,381.4167001,372.8979686, ,390.0303034, ,139.0260413,135.799906, ,142.2895231, ,100, 
